Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

22時26分59秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分08秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分09秒        lo     23.00     23.00      4.53      4.53      0.00      0.00      0.00      0.00
22時27分09秒     ens33  22457.00  20460.00   7549.48   8376.46      0.00      0.00      0.00      0.69
22時27分09秒      cni0  13700.00  13900.00   6682.16   5927.70      0.00      0.00      0.00      0.00
22時27分09秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分09秒 veth854270a4     28.00     32.00      7.20      6.18      0.00      0.00      0.00      0.00
22時27分09秒 veth0c9b2fa5     34.00     34.00      6.30      4.13      0.00      0.00      0.00      0.00
22時27分09秒 veth8c54fcdc     74.00     83.00      8.60      9.86      0.00      0.00      0.00      0.00
22時27分09秒 veth31d8334d   7502.00   7630.00   4742.44   4890.45      0.00      0.00      0.00      0.40
22時27分09秒 veth8017ce2c   8904.00   8964.00   3588.93   2501.21      0.00      0.00      0.00      0.29

22時27分09秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分10秒        lo      6.00      6.00      0.64      0.64      0.00      0.00      0.00      0.00
22時27分10秒     ens33  21809.00  19735.00   7355.48   8593.17      0.00      0.00      0.00      0.70
22時27分10秒      cni0  12477.00  12769.00   6798.74   5618.59      0.00      0.00      0.00      0.00
22時27分10秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分10秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分10秒 veth0c9b2fa5      6.00      6.00      1.34      0.81      0.00      0.00      0.00      0.00
22時27分10秒 veth8c54fcdc     65.00     68.00     10.95     10.97      0.00      0.00      0.00      0.00
22時27分10秒 veth31d8334d   7331.00   7525.00   5300.19   4878.80      0.00      0.00      0.00      0.43
22時27分10秒 veth8017ce2c   7777.00   7872.00   3146.61   2217.79      0.00      0.00      0.00      0.26

22時27分10秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分11秒        lo     42.00     42.00     28.85     28.85      0.00      0.00      0.00      0.00
22時27分11秒     ens33  23956.00  21737.00   8026.81   8976.29      0.00      0.00      0.00      0.74
22時27分11秒      cni0  14137.00  14420.00   6998.99   6191.53      0.00      0.00      0.00      0.00
22時27分11秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分11秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
22時27分11秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
22時27分11秒 veth8c54fcdc    163.00    182.00     95.21     93.33      0.00      0.00      0.00      0.01
22時27分11秒 veth31d8334d   7595.00   7808.00   4933.02   5077.39      0.00      0.00      0.00      0.42
22時27分11秒 veth8017ce2c   9384.00   9431.00   3786.02   2645.06      0.00      0.00      0.00      0.31

22時27分11秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分12秒        lo      8.00      8.00      0.90      0.90      0.00      0.00      0.00      0.00
22時27分12秒     ens33  22204.00  20057.00   7560.20   8550.73      0.00      0.00      0.00      0.70
22時27分12秒      cni0  13021.00  13246.00   6796.10   5865.97      0.00      0.00      0.00      0.00
22時27分12秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分12秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分12秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分12秒 veth8c54fcdc     73.00     90.00      8.19      8.77      0.00      0.00      0.00      0.00
22時27分12秒 veth31d8334d   7425.00   7600.00   5126.73   5017.09      0.00      0.00      0.00      0.42
22時27分12秒 veth8017ce2c   8228.00   8265.00   3332.82   2334.21      0.00      0.00      0.00      0.27

22時27分12秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分13秒        lo     18.00     18.00      2.58      2.58      0.00      0.00      0.00      0.00
22時27分13秒     ens33  22282.00  20259.00   7350.39   8930.92      0.00      0.00      0.00      0.73
22時27分13秒      cni0  13840.00  14102.00   7314.58   5811.55      0.00      0.00      0.00      0.00
22時27分13秒 vethbdca3de6      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
22時27分13秒 veth854270a4     12.00     14.00      3.44      1.48      0.00      0.00      0.00      0.00
22時27分13秒 veth0c9b2fa5     29.00     29.00      5.84      3.69      0.00      0.00      0.00      0.00
22時27分13秒 veth8c54fcdc    158.00    146.00     20.78     22.45      0.00      0.00      0.00      0.00
22時27分13秒 veth31d8334d   7601.00   7764.00   5512.67   4923.69      0.00      0.00      0.00      0.45
22時27分13秒 veth8017ce2c   9257.00   9363.00   3619.65   2518.41      0.00      0.00      0.00      0.30

22時27分13秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分14秒        lo      4.00      4.00      0.44      0.44      0.00      0.00      0.00      0.00
22時27分14秒     ens33  24312.00  21891.00   8219.76   9664.13      0.00      0.00      0.00      0.79
22時27分14秒      cni0  14335.00  14726.00   7789.50   6412.46      0.00      0.00      0.00      0.00
22時27分14秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分14秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分14秒 veth0c9b2fa5      8.00      8.00      1.45      1.04      0.00      0.00      0.00      0.00
22時27分14秒 veth8c54fcdc     74.00     79.00      7.93      9.58      0.00      0.00      0.00      0.00
22時27分14秒 veth31d8334d   7971.00   8244.00   5952.61   5526.77      0.00      0.00      0.00      0.49
22時27分14秒 veth8017ce2c   9481.00   9593.00   3831.29   2683.17      0.00      0.00      0.00      0.31

22時27分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分15秒        lo     17.00     17.00      3.92      3.92      0.00      0.00      0.00      0.00
22時27分15秒     ens33  23306.00  20870.00   7518.93   8852.76      0.00      0.00      0.00      0.73
22時27分15秒      cni0  13352.00  14093.00   6986.79   5726.81      0.00      0.00      0.00      0.00
22時27分15秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分15秒 veth854270a4     22.00     19.00      5.96      1.99      0.00      0.00      0.00      0.00
22時27分15秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
22時27分15秒 veth8c54fcdc    153.00    177.00     24.00     22.93      0.00      0.00      0.00      0.00
22時27分15秒 veth31d8334d   7643.00   8280.00   5295.90   4844.33      0.00      0.00      0.00      0.43
22時27分15秒 veth8017ce2c   8186.00   8271.00   3255.21   2269.87      0.00      0.00      0.00      0.27

22時27分15秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分16秒        lo     12.00     12.00      1.69      1.69      0.00      0.00      0.00      0.00
22時27分16秒     ens33  22153.00  19766.00   7596.96   8538.47      0.00      0.00      0.00      0.70
22時27分16秒      cni0  13040.00  13452.00   6857.80   5969.61      0.00      0.00      0.00      0.00
22時27分16秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分16秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分16秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分16秒 veth8c54fcdc     76.00     84.00      8.05     12.64      0.00      0.00      0.00      0.00
