Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

19時24分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分24秒 veth0c9b2fa5     12.00     12.00      2.69      1.63      0.00      0.00      0.00      0.00
19時24分24秒 vethba68c3a0   5645.00   5992.00    673.38    678.96      0.00      0.00      0.00      0.06
19時24分24秒 veth0a72e473   7577.00   8704.00   6475.78   8168.73      0.00      0.00      0.00      0.67
19時24分24秒 veth575532b7  15279.00  14976.00   6565.71   4434.91      0.00      0.00      0.00      0.54

19時24分24秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分25秒        lo      8.00      8.00      0.98      0.98      0.00      0.00      0.00      0.00
19時24分25秒     ens33  27798.00  23707.00   9828.61  10488.91      0.00      0.00      0.00      0.86
19時24分25秒      cni0  15884.00  17109.00   8544.56   7919.58      0.00      0.00      0.00      0.00
19時24分25秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分25秒 veth854270a4     10.00     12.00      3.27      1.31      0.00      0.00      0.00      0.00
19時24分25秒 veth0c9b2fa5     23.00     23.00      4.50      2.88      0.00      0.00      0.00      0.00
19時24分25秒 vethba68c3a0   5247.00   5543.00    606.95    617.52      0.00      0.00      0.00      0.05
19時24分25秒 veth0a72e473   5463.00   6754.00   5417.38   6124.99      0.00      0.00      0.00      0.50
19時24分25秒 veth575532b7  12508.00  12144.00   5269.85   3713.10      0.00      0.00      0.00      0.43

19時24分25秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分26秒        lo     10.00     10.00      1.50      1.50      0.00      0.00      0.00      0.00
19時24分26秒     ens33  31999.00  26938.00  11554.04  11522.93      0.00      0.00      0.00      0.95
19時24分26秒      cni0  18061.00  19794.00   9295.67   9365.28      0.00      0.00      0.00      0.00
19時24分26秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分26秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分26秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分26秒 vethba68c3a0   5894.00   6201.00    688.94    686.80      0.00      0.00      0.00      0.06
19時24分26秒 veth0a72e473   6071.00   7933.00   5686.40   7323.37      0.00      0.00      0.00      0.60
19時24分26秒 veth575532b7  14415.00  13977.00   5881.94   4069.58      0.00      0.00      0.00      0.48

19時24分26秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分27秒        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分27秒     ens33  31524.00  27323.00  10862.38  11810.95      0.00      0.00      0.00      0.97
19時24分27秒      cni0  18417.00  19727.00   9570.14   8687.96      0.00      0.00      0.00      0.00
19時24分27秒 vethbdca3de6      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
19時24分27秒 veth854270a4     10.00     12.00      3.27      1.31      0.00      0.00      0.00      0.00
19時24分27秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
19時24分27秒 vethba68c3a0   4966.00   5260.00    597.79    600.32      0.00      0.00      0.00      0.05
19時24分27秒 veth0a72e473   6907.00   8243.00   6237.52   7002.12      0.00      0.00      0.00      0.57
19時24分27秒 veth575532b7  14208.00  13888.00   5871.99   3973.49      0.00      0.00      0.00      0.48

19時24分27秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分28秒        lo     32.00     32.00      4.26      4.26      0.00      0.00      0.00      0.00
19時24分28秒     ens33  31574.00  27185.00  10956.03  11634.29      0.00      0.00      0.00      0.95
19時24分28秒      cni0  18547.00  19923.00   9457.50   8843.96      0.00      0.00      0.00      0.00
19時24分28秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分28秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分28秒 veth0c9b2fa5     12.00     12.00      2.69      1.63      0.00      0.00      0.00      0.00
19時24分28秒 vethba68c3a0   5497.00   5772.00    640.54    647.12      0.00      0.00      0.00      0.05
19時24分28秒 veth0a72e473   6409.00   7938.00   5734.33   6822.65      0.00      0.00      0.00      0.56
19時24分28秒 veth575532b7  15187.00  14759.00   6094.41   4133.45      0.00      0.00      0.00      0.50

19時24分28秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分29秒        lo     19.00     19.00      3.36      3.36      0.00      0.00      0.00      0.00
19時24分29秒     ens33  31477.00  26822.00  11082.53  11293.04      0.00      0.00      0.00      0.93
19時24分29秒      cni0  17752.00  19244.00   8999.94   8825.81      0.00      0.00      0.00      0.00
19時24分29秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分29秒 veth854270a4     21.00     26.00      6.61      2.76      0.00      0.00      0.00      0.00
19時24分29秒 veth0c9b2fa5     28.00     28.00      4.96      3.31      0.00      0.00      0.00      0.00
19時24分29秒 vethba68c3a0   5025.00   5323.00    604.80    606.84      0.00      0.00      0.00      0.05
19時24分29秒 veth0a72e473   6610.00   8077.00   5581.69   6898.53      0.00      0.00      0.00      0.57
19時24分29秒 veth575532b7  13066.00  12787.00   5433.94   3703.66      0.00      0.00      0.00      0.45

