CLUSTER_MEMORY_USAGE_OPS_HISTORY	SQL_DIGEST	12	varchar(64)	YES		
CLUSTER_MEMORY_USAGE_OPS_HISTORY	SQL_TEXT	13	varchar(256)	YES		
CLUSTER_PROCESSLIST	INSTANCE	1	varchar(64)	YES		
CLUSTER_PROCESSLIST	ID	2	bigint unsigned	NO		
CLUSTER_PROCESSLIST	USER	3	varchar(16)	NO		
CLUSTER_PROCESSLIST	HOST	4	varchar(64)	NO		
CLUSTER_PROCESSLIST	DB	5	varchar(64)	YES		
CLUSTER_PROCESSLIST	COMMAND	6	varchar(16)	NO		
CLUSTER_PROCESSLIST	TIME	7	int	NO		
CLUSTER_PROCESSLIST	STATE	8	varchar(7)	YES		
CLUSTER_PROCESSLIST	INFO	9	longtext	YES		
CLUSTER_PROCESSLIST	DIGEST	10	varchar(64)	YES		
CLUSTER_PROCESSLIST	MEM	11	bigint unsigned	YES		
CLUSTER_PROCESSLIST	DISK	12	bigint unsigned	YES		
CLUSTER_PROCESSLIST	TxnStart	13	varchar(64)	NO		
CLUSTER_PROCESSLIST	RESOURCE_GROUP	14	varchar(32)	NO		
CLUSTER_PROCESSLIST	SESSION_ALIAS	15	varchar(64)	NO		
CLUSTER_PROCESSLIST	ROWS_AFFECTED	16	bigint unsigned	YES		
CLUSTER_PROCESSLIST	TIDB_CPU	17	bigint	NO		
CLUSTER_PROCESSLIST	TIKV_CPU	18	bigint	NO		
CLUSTER_SLOW_QUERY	INSTANCE	1	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Time	2	timestamp(6)	NO	PRI	
CLUSTER_SLOW_QUERY	Txn_start_ts	3	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	User	4	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Host	5	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Conn_ID	6	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Session_alias	7	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Exec_retry_count	8	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Exec_retry_time	9	double	YES		
CLUSTER_SLOW_QUERY	Query_time	10	double	YES		
CLUSTER_SLOW_QUERY	Parse_time	11	double	YES		
CLUSTER_SLOW_QUERY	Compile_time	12	double	YES		
CLUSTER_SLOW_QUERY	Rewrite_time	13	double	YES		
CLUSTER_SLOW_QUERY	Preproc_subqueries	14	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Preproc_subqueries_time	15	double	YES		
CLUSTER_SLOW_QUERY	Optimize_time	16	double	YES		
CLUSTER_SLOW_QUERY	Wait_TS	17	double	YES		
CLUSTER_SLOW_QUERY	Prewrite_time	18	double	YES		
CLUSTER_SLOW_QUERY	Wait_prewrite_binlog_time	19	double	YES		
CLUSTER_SLOW_QUERY	Commit_time	20	double	YES		
CLUSTER_SLOW_QUERY	Get_commit_ts_time	21	double	YES		
CLUSTER_SLOW_QUERY	Commit_backoff_time	22	double	YES		
CLUSTER_SLOW_QUERY	Backoff_types	23	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Resolve_lock_time	24	double	YES		
CLUSTER_SLOW_QUERY	Local_latch_wait_time	25	double	YES		
CLUSTER_SLOW_QUERY	Write_keys	26	bigint	YES		
CLUSTER_SLOW_QUERY	Write_size	27	bigint	YES		
CLUSTER_SLOW_QUERY	Prewrite_region	28	bigint	YES		
CLUSTER_SLOW_QUERY	Txn_retry	29	bigint	YES		
CLUSTER_SLOW_QUERY	Cop_time	30	double	YES		
CLUSTER_SLOW_QUERY	Process_time	31	double	YES		
CLUSTER_SLOW_QUERY	Wait_time	32	double	YES		
CLUSTER_SLOW_QUERY	Backoff_time	33	double	YES		
CLUSTER_SLOW_QUERY	LockKeys_time	34	double	YES		
CLUSTER_SLOW_QUERY	Request_count	35	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Total_keys	36	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Process_keys	37	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Rocksdb_delete_skipped_count	38	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Rocksdb_key_skipped_count	39	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Rocksdb_block_cache_hit_count	40	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Rocksdb_block_read_count	41	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	Rocksdb_block_read_byte	42	bigint unsigned	YES		
CLUSTER_SLOW_QUERY	DB	43	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Index_names	44	varchar(100)	YES		
CLUSTER_SLOW_QUERY	Is_internal	45	tinyint(1)	YES		
CLUSTER_SLOW_QUERY	Digest	46	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Stats	47	varchar(512)	YES		
CLUSTER_SLOW_QUERY	Cop_proc_avg	48	double	YES		
CLUSTER_SLOW_QUERY	Cop_proc_p90	49	double	YES		
CLUSTER_SLOW_QUERY	Cop_proc_max	50	double	YES		
CLUSTER_SLOW_QUERY	Cop_proc_addr	51	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Cop_wait_avg	52	double	YES		
CLUSTER_SLOW_QUERY	Cop_wait_p90	53	double	YES		
CLUSTER_SLOW_QUERY	Cop_wait_max	54	double	YES		
CLUSTER_SLOW_QUERY	Cop_wait_addr	55	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Mem_max	56	bigint	YES		
CLUSTER_SLOW_QUERY	Disk_max	57	bigint	YES		
CLUSTER_SLOW_QUERY	KV_total	58	double	YES		
CLUSTER_SLOW_QUERY	PD_total	59	double	YES		
CLUSTER_SLOW_QUERY	Backoff_total	60	double	YES		
CLUSTER_SLOW_QUERY	Write_sql_response_total	61	double	YES		
CLUSTER_SLOW_QUERY	Result_rows	62	bigint	YES		
CLUSTER_SLOW_QUERY	Warnings	63	longtext	YES		
CLUSTER_SLOW_QUERY	Backoff_Detail	64	varchar(4096)	YES		
CLUSTER_SLOW_QUERY	Prepared	65	tinyint(1)	YES		
CLUSTER_SLOW_QUERY	Succ	66	tinyint(1)	YES		
CLUSTER_SLOW_QUERY	IsExplicitTxn	67	tinyint(1)	YES		
CLUSTER_SLOW_QUERY	IsWriteCacheTable	68	tinyint(1)	YES		
CLUSTER_SLOW_QUERY	Plan_from_cache	69	tinyint(1)	YES		
CLUSTER_SLOW_QUERY	Plan_from_binding	70	tinyint(1)	YES		
CLUSTER_SLOW_QUERY	Has_more_results	71	tinyint(1)	YES		
CLUSTER_SLOW_QUERY	Resource_group	72	varchar(64)	YES		
CLUSTER_SLOW_QUERY	Request_unit_read	73	double	YES		
CLUSTER_SLOW_QUERY	Request_unit_write	74	double	YES		
CLUSTER_SLOW_QUERY	Time_queued_by_rc	75	double	YES		
CLUSTER_SLOW_QUERY	Tidb_cpu_time	76	double	YES		
CLUSTER_SLOW_QUERY	Tikv_cpu_time	77	double	YES		
CLUSTER_SLOW_QUERY	Plan	78	longtext	YES		
CLUSTER_SLOW_QUERY	Plan_digest	79	varchar(128)	YES		
CLUSTER_SLOW_QUERY	Binary_plan	80	longtext	YES		
CLUSTER_SLOW_QUERY	Prev_stmt	81	longtext	YES		
CLUSTER_SLOW_QUERY	Query	82	longtext	YES		
CLUSTER_STATEMENTS_SUMMARY	INSTANCE	1	varchar(64)	YES		
CLUSTER_STATEMENTS_SUMMARY	SUMMARY_BEGIN_TIME	2	timestamp	NO		
CLUSTER_STATEMENTS_SUMMARY	SUMMARY_END_TIME	3	timestamp	NO		
CLUSTER_STATEMENTS_SUMMARY	STMT_TYPE	4	varchar(64)	NO		
CLUSTER_STATEMENTS_SUMMARY	SCHEMA_NAME	5	varchar(64)	YES		
CLUSTER_STATEMENTS_SUMMARY	DIGEST	6	varchar(64)	YES		
CLUSTER_STATEMENTS_SUMMARY	DIGEST_TEXT	7	text	NO		
CLUSTER_STATEMENTS_SUMMARY	TABLE_NAMES	8	text	YES		
CLUSTER_STATEMENTS_SUMMARY	INDEX_NAMES	9	text	YES		
CLUSTER_STATEMENTS_SUMMARY	SAMPLE_USER	10	varchar(64)	YES		
CLUSTER_STATEMENTS_SUMMARY	EXEC_COUNT	11	bigint unsigned	NO		
CLUSTER_STATEMENTS_SUMMARY	SUM_ERRORS	12	int unsigned	NO		
CLUSTER_STATEMENTS_SUMMARY	SUM_WARNINGS	13	int unsigned	NO		
CLUSTER_STATEMENTS_SUMMARY	SUM_LATENCY	14	bigint unsigned	NO		
CLUSTER_STATEMENTS_SUMMARY	MAX_LATENCY	15	bigint unsigned	NO		
CLUSTER_STATEMENTS_SUMMARY	MIN_LATENCY	16	bigint unsigned	NO		
CLUSTER_STATEMENTS_SUMMARY	AVG_LATENCY	17	bigint unsigned	NO		
CLUSTER_STATEMENTS_SUMMARY	AVG_PARSE_LATENCY	18	bigint unsigned	NO		
