ts_ns,query_type,latency_ms
1783061055558274331,update,8.268
1783061055672025848,select,8.161
1783061055683177328,update,9.047
1783061055797328788,select,7.605
1783061055808043547,update,8.389
1783061055921919872,select,7.643
1783061055932888305,update,8.100
1783061056046305487,select,8.353
1783061056058017206,update,10.669
1783061056173488987,select,7.937
1783061056184414051,update,8.199
1783061056297110200,select,6.983
1783061056307210066,update,9.469
1783061056421162626,select,8.155
1783061056432274097,update,7.967
1783061056544806286,select,7.717
1783061056556412165,update,9.279
1783061056671157678,select,7.391
1783061056681520224,update,7.846
1783061056794462473,select,7.512
1783061056805108378,update,7.866
1783061056917471049,select,7.917
1783061056928406672,update,8.780
1783061057042329831,select,8.476
1783061057053895423,update,7.698
1783061057166117124,select,8.464
1783061057177800642,update,9.135
1783061057291580398,select,8.699
1783061057303653269,update,8.347
1783061057416781256,select,9.060
1783061057429297668,update,9.144
1783061057544319368,select,8.974
1783061057556998148,update,9.937
1783061057672414381,select,7.071
1783061057682822897,update,8.981
1783061057796019996,select,6.869
1783061057805916380,update,8.299
1783061057918825843,select,7.512
1783061057929280187,update,9.495
1783061058043282215,select,7.726
1783061058054203874,update,9.149
1783061058167960197,select,8.279
1783061058180174615,update,9.459
1783061058294367736,select,7.986
1783061058305378556,update,10.314
1783061058420506947,select,9.069
1783061058432939524,update,9.522
1783061058547027072,select,7.751
1783061058558102265,update,8.619
1783061058671395574,select,7.323
1783061058682058212,update,9.186
1783061058795772145,select,7.702
1783061058806753771,update,8.584
1783061058920062979,select,7.634
1783061058930826113,update,8.174
1783061059043550160,select,7.163
1783061059053975239,update,8.811
1783061059167706096,select,8.127
1783061059178844319,update,9.086
1783061059292384543,select,8.902
1783061059304672758,update,9.186
1783061059418628666,select,9.365
1783061059431434668,update,8.477
1783061059545048650,select,7.490
1783061059556214643,update,10.642
1783061059671659991,select,7.877
1783061059682981166,update,9.847
1783061059797744778,select,8.688
1783061059810676280,update,10.246
1783061059925238162,select,7.585
1783061059936154793,update,8.019
1783061060049312672,select,8.894
1783061060062192296,update,8.627
1783061060176586584,select,7.729
1783061060187367806,update,8.428
1783061060301715714,select,7.303
1783061060312919935,update,8.775
1783061060427273661,select,7.988
1783061060438416285,update,8.400
1783061060551762114,select,7.567
1783061060562474572,update,9.896
1783061060676941133,select,8.529
1783061060688546692,update,8.525
1783061060801567220,select,8.883
1783061060813854795,update,8.032
1783061060926445955,select,7.493
1783061060937098144,update,9.329
1783061061051088466,select,8.961
1783061061063427729,update,10.193
1783061061178468396,select,7.283
1783061061189060098,update,7.784
1783061061301540438,select,7.986
1783061061312909563,update,10.018
1783061061428245012,select,8.027
1783061061440159911,update,8.757
1783061061553566819,select,7.685
1783061061565775426,update,8.262
1783061061678853948,select,7.093
1783061061689022462,update,8.160
1783061061801459460,select,7.319
1783061061811762605,update,7.392
1783061061924236240,select,7.274
1783061061934375961,update,8.656
1783061062047510597,select,7.590
1783061062058208760,update,9.555
1783061062172800073,select,7.780
1783061062184053559,update,9.784
1783061062298778708,select,8.960
1783061062310859992,update,8.064
1783061062423912908,select,8.603
1783061062435948953,update,8.058
1783061062548567181,select,7.204
1783061062559026816,update,8.874
1783061062672742406,select,7.374
1783061062683911503,update,8.492
1783061062798572170,select,8.104
1783061062809707413,update,9.090
1783061062923723332,select,8.367
1783061062935215276,update,7.919
1783061063047966126,select,8.098
1783061063059754620,update,8.655
1783061063173072897,select,8.380
1783061063184624159,update,8.715
1783061063297892479,select,7.373
1783061063308488866,update,8.075
1783061063421071523,select,7.816
1783061063432228707,update,9.025
1783061063546135265,select,7.067
1783061063556144098,update,7.877
1783061063668378830,select,7.647
1783061063678885321,update,8.169
1783061063792482477,select,7.601
1783061063803112319,update,8.920
1783061063916644672,select,8.455
1783061063928660629,update,9.012
1783061064042550158,select,7.542
1783061064053276261,update,8.580
1783061064167063176,select,11.316
1783061064181664852,update,9.179
1783061064295540572,select,7.570
1783061064307455421,update,8.244
1783061064420477762,select,7.661
1783061064431465706,update,8.294
1783061064544345387,select,8.491
1783061064556526797,update,8.098
1783061064669529458,select,7.824
1783061064680618816,update,8.799
1783061064794348409,select,8.410
1783061064806395374,update,8.939
1783061064919904686,select,8.244
1783061064931314880,update,9.523
1783061065045405808,select,7.809
1783061065056365094,update,9.786
1783061065170488721,select,7.070
1783061065181992845,update,9.332
1783061065296163183,select,8.424
1783061065308615996,update,9.489
1783061065423148688,select,9.521
1783061065436371448,update,9.852
1783061065551469475,select,8.491
1783061065563325911,update,8.946
1783061065677987553,select,7.215
1783061065688143955,update,8.283
1783061065800917268,select,7.453
1783061065811350912,update,7.829
1783061065924110116,select,8.688
1783061065936350122,update,11.637
1783061066053183897,select,7.617
1783061066063975562,update,8.844
1783061066177911263,select,8.787
1783061066189971317,update,8.689
1783061066304258330,select,8.039
1783061066315699797,update,8.405
1783061066428668476,select,7.277
1783061066439086854,update,8.855
1783061066552740625,select,7.136
1783061066562935497,update,7.629
1783061066675111375,select,8.149
1783061066686413403,update,8.732
1783061066800641498,select,8.093
1783061066812570040,update,8.003
1783061066925552948,select,8.055
1783061066936888444,update,8.458
1783061067051279530,select,7.314
1783061067061862308,update,8.804
1783061067176656268,select,7.552
1783061067187268638,update,9.118
1783061067301261182,select,7.252
1783061067311509687,update,10.155
1783061067426308275,select,6.895
1783061067436056618,update,10.094
1783061067552725419,select,7.621
1783061067563307022,update,8.492
1783061067676252301,select,8.357
1783061067687372062,update,9.429
1783061067801753421,select,7.735
1783061067813916641,update,7.610
1783061067926328218,select,7.765
1783061067937687554,update,8.463
1783061068050547511,select,7.448
1783061068061412792,update,10.815
1783061068177402007,select,7.722
1783061068188328010,update,8.244
1783061068301320369,select,7.431
1783061068312162019,update,9.664
1783061068427571206,select,8.582
1783061068441241405,update,8.316
1783061068554672605,select,9.089
1783061068567553610,update,8.983
1783061068682180448,select,8.992
1783061068694678327,update,10.839
1783061068810498787,select,8.802
1783061068823067727,update,8.734
1783061068937453855,select,7.704
1783061068948432064,update,8.249
