2026/07/18 12:52:05 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1823, TPM: 10945.6, Sum(ms): 97660.2, Avg(ms): 53.6, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 100.7, 99.9th(ms): 113.2, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1803, TPM: 10819.7, Sum(ms): 61412.0, Avg(ms): 34.1, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 54.5, 99th(ms): 71.3, 99.9th(ms): 88.1, Max(ms): 104.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1827, TPM: 10977.3, Sum(ms): 97829.6, Avg(ms): 53.6, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 96.5, 99.9th(ms): 113.2, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1815, TPM: 10889.5, Sum(ms): 61267.7, Avg(ms): 33.8, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 65.0, 99.9th(ms): 83.9, Max(ms): 100.7
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1779, TPM: 10677.6, Sum(ms): 94580.4, Avg(ms): 53.2, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 88.1, 99.9th(ms): 113.2, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1926, TPM: 11560.1, Sum(ms): 64624.0, Avg(ms): 33.6, 50th(ms): 32.5, 90th(ms): 35.7, 95th(ms): 52.4, 99th(ms): 60.8, 99.9th(ms): 83.9, Max(ms): 96.5
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1825, TPM: 10963.1, Sum(ms): 97636.9, Avg(ms): 53.5, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 96.5, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1811, TPM: 10867.9, Sum(ms): 61419.0, Avg(ms): 33.9, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 54.5, 99th(ms): 75.5, 99.9th(ms): 83.9, Max(ms): 100.7
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 1814, TPM: 10886.5, Sum(ms): 97274.5, Avg(ms): 53.6, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 96.5, 99.9th(ms): 113.2, Max(ms): 113.2
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 1838, TPM: 11039.3, Sum(ms): 61846.3, Avg(ms): 33.7, 50th(ms): 32.5, 90th(ms): 35.7, 95th(ms): 52.4, 99th(ms): 62.9, 99.9th(ms): 83.9, Max(ms): 100.7
Finished
[Summary] ORDER_STATUS - Takes(s): 297.2, Count: 54251, TPM: 10953.8, Sum(ms): 2908233.0, Avg(ms): 53.6, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 100.7, 99.9th(ms): 117.4, Max(ms): 973.1
[Summary] STOCK_LEVEL - Takes(s): 297.3, Count: 54105, TPM: 10917.6, Sum(ms): 1834369.6, Avg(ms): 33.9, 50th(ms): 32.5, 90th(ms): 37.7, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 96.5, Max(ms): 838.9
