2026/07/03 00:19:28 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
begin to check warehouse 26 at condition 3.3.2.6
begin to check warehouse 26 at condition 3.3.2.7
begin to check warehouse 26 at condition 3.3.2.8
begin to check warehouse 26 at condition 3.3.2.12
begin to check warehouse 26 at condition 3.3.2.1
begin to check warehouse 26 at condition 3.3.2.2
begin to check warehouse 27 at condition 3.3.2.4
begin to check warehouse 27 at condition 3.3.2.5
begin to check warehouse 27 at condition 3.3.2.9
begin to check warehouse 27 at condition 3.3.2.10
begin to check warehouse 27 at condition 3.3.2.11
begin to check warehouse 27 at condition 3.3.2.12
begin to check warehouse 27 at condition 3.3.2.1
begin to check warehouse 27 at condition 3.3.2.2
begin to check warehouse 27 at condition 3.3.2.3
begin to check warehouse 27 at condition 3.3.2.6
begin to check warehouse 27 at condition 3.3.2.7
begin to check warehouse 27 at condition 3.3.2.8
begin to check warehouse 28 at condition 3.3.2.4
begin to check warehouse 28 at condition 3.3.2.5
begin to check warehouse 28 at condition 3.3.2.9
begin to check warehouse 28 at condition 3.3.2.10
begin to check warehouse 28 at condition 3.3.2.11
begin to check warehouse 28 at condition 3.3.2.8
begin to check warehouse 28 at condition 3.3.2.12
begin to check warehouse 28 at condition 3.3.2.1
begin to check warehouse 28 at condition 3.3.2.2
begin to check warehouse 28 at condition 3.3.2.3
begin to check warehouse 28 at condition 3.3.2.6
begin to check warehouse 28 at condition 3.3.2.7
begin to check warehouse 29 at condition 3.3.2.1
begin to check warehouse 29 at condition 3.3.2.2
begin to check warehouse 29 at condition 3.3.2.3
begin to check warehouse 29 at condition 3.3.2.6
begin to check warehouse 29 at condition 3.3.2.7
begin to check warehouse 29 at condition 3.3.2.8
begin to check warehouse 29 at condition 3.3.2.12
begin to check warehouse 29 at condition 3.3.2.4
begin to check warehouse 29 at condition 3.3.2.5
begin to check warehouse 29 at condition 3.3.2.9
begin to check warehouse 29 at condition 3.3.2.10
begin to check warehouse 29 at condition 3.3.2.11
begin to check warehouse 30 at condition 3.3.2.11
begin to check warehouse 30 at condition 3.3.2.4
begin to check warehouse 30 at condition 3.3.2.5
begin to check warehouse 30 at condition 3.3.2.9
begin to check warehouse 30 at condition 3.3.2.10
begin to check warehouse 30 at condition 3.3.2.7
begin to check warehouse 30 at condition 3.3.2.8
begin to check warehouse 30 at condition 3.3.2.12
begin to check warehouse 30 at condition 3.3.2.1
begin to check warehouse 30 at condition 3.3.2.2
begin to check warehouse 30 at condition 3.3.2.3
begin to check warehouse 30 at condition 3.3.2.6
begin to check warehouse 31 at condition 3.3.2.7
begin to check warehouse 31 at condition 3.3.2.8
begin to check warehouse 31 at condition 3.3.2.12
begin to check warehouse 31 at condition 3.3.2.1
begin to check warehouse 31 at condition 3.3.2.2
begin to check warehouse 31 at condition 3.3.2.3
begin to check warehouse 31 at condition 3.3.2.6
begin to check warehouse 31 at condition 3.3.2.11
begin to check warehouse 31 at condition 3.3.2.4
begin to check warehouse 31 at condition 3.3.2.5
begin to check warehouse 31 at condition 3.3.2.9
begin to check warehouse 31 at condition 3.3.2.10
begin to check warehouse 32 at condition 3.3.2.1
begin to check warehouse 32 at condition 3.3.2.2
begin to check warehouse 32 at condition 3.3.2.3
begin to check warehouse 32 at condition 3.3.2.6
begin to check warehouse 32 at condition 3.3.2.7
begin to check warehouse 32 at condition 3.3.2.8
begin to check warehouse 32 at condition 3.3.2.12
begin to check warehouse 32 at condition 3.3.2.4
begin to check warehouse 32 at condition 3.3.2.5
begin to check warehouse 32 at condition 3.3.2.9
begin to check warehouse 32 at condition 3.3.2.10
begin to check warehouse 32 at condition 3.3.2.11
begin to check warehouse 33 at condition 3.3.2.9
begin to check warehouse 33 at condition 3.3.2.10
begin to check warehouse 33 at condition 3.3.2.11
begin to check warehouse 33 at condition 3.3.2.4
begin to check warehouse 33 at condition 3.3.2.5
begin to check warehouse 33 at condition 3.3.2.3
begin to check warehouse 33 at condition 3.3.2.6
begin to check warehouse 33 at condition 3.3.2.7
begin to check warehouse 33 at condition 3.3.2.8
begin to check warehouse 33 at condition 3.3.2.12
begin to check warehouse 33 at condition 3.3.2.1
begin to check warehouse 33 at condition 3.3.2.2
begin to check warehouse 34 at condition 3.3.2.4
begin to check warehouse 34 at condition 3.3.2.5
begin to check warehouse 34 at condition 3.3.2.9
begin to check warehouse 34 at condition 3.3.2.10
begin to check warehouse 34 at condition 3.3.2.11
begin to check warehouse 34 at condition 3.3.2.12
begin to check warehouse 34 at condition 3.3.2.1
begin to check warehouse 34 at condition 3.3.2.2
begin to check warehouse 34 at condition 3.3.2.3
begin to check warehouse 34 at condition 3.3.2.6
begin to check warehouse 34 at condition 3.3.2.7
begin to check warehouse 34 at condition 3.3.2.8
begin to check warehouse 35 at condition 3.3.2.5
begin to check warehouse 35 at condition 3.3.2.9
begin to check warehouse 35 at condition 3.3.2.10
begin to check warehouse 35 at condition 3.3.2.11
begin to check warehouse 35 at condition 3.3.2.4
begin to check warehouse 35 at condition 3.3.2.2
