subnet	ip	hostname	description	status
172.21.33.0	172.21.33.50	-	-	unused
172.21.33.0	172.21.33.51	-	-	unused
172.21.33.0	172.21.33.52	-	-	unused
172.21.33.0	172.21.33.53	-	-	unused
172.21.33.0	172.21.33.54	-	-	unused
172.21.33.0	172.21.33.55	-	-	unused
172.21.33.0	172.21.33.56	-	-	unused
172.21.33.0	172.21.33.57	-	-	unused
172.21.33.0	172.21.33.58	-	-	unused
172.21.33.0	172.21.33.59	-	-	unused
172.21.33.0	172.21.33.60	-	-	unused
172.21.33.0	172.21.33.61	-	-	unused
172.21.33.0	172.21.33.62	-	-	unused
172.21.33.0	172.21.33.63	-	-	unused
172.21.33.0	172.21.33.64	-	-	unused
172.21.33.0	172.21.33.65	-	-	unused
172.21.33.0	172.21.33.66	-	-	unused
172.21.33.0	172.21.33.67	-	-	unused
172.21.33.0	172.21.33.68	-	-	unused
172.21.33.0	172.21.33.69	-	-	unused
172.21.33.0	172.21.33.70	-	-	unused
172.21.33.0	172.21.33.71	-	-	unused
172.21.33.0	172.21.33.72	-	-	unused
172.21.33.0	172.21.33.73	-	-	unused
172.21.33.0	172.21.33.74	-	-	unused
172.21.33.0	172.21.33.75	-	-	unused
172.21.33.0	172.21.33.76	-	-	unused
172.21.33.0	172.21.33.77	-	-	unused
172.21.33.0	172.21.33.78	-	-	unused
172.21.33.0	172.21.33.79	-	-	unused
172.21.33.0	172.21.33.80	-	-	unused
172.21.33.0	172.21.33.81	-	-	unused
172.21.33.0	172.21.33.82	-	-	unused
172.21.33.0	172.21.33.83	-	-	unused
172.21.33.0	172.21.33.84	-	-	unused
172.21.33.0	172.21.33.85	-	-	unused
172.21.33.0	172.21.33.86	-	-	unused
172.21.33.0	172.21.33.87	-	-	unused
172.21.33.0	172.21.33.88	-	-	unused
172.21.33.0	172.21.33.89	-	-	unused
172.21.33.0	172.21.33.90	-	-	unused
172.21.33.0	172.21.33.91	-	-	unused
172.21.33.0	172.21.33.92	-	-	unused
172.21.33.0	172.21.33.93	-	-	unused
172.21.33.0	172.21.33.94	-	-	unused
172.21.33.0	172.21.33.95	-	-	unused
172.21.33.0	172.21.33.96	-	-	unused
172.21.33.0	172.21.33.97	-	-	unused
172.21.33.0	172.21.33.98	-	-	unused
172.21.33.0	172.21.33.99	-	-	unused
172.21.33.0	172.21.33.100	-	-	unused
172.21.33.0	172.21.33.101	-	-	unused
172.21.33.0	172.21.33.102	-	-	unused
172.21.33.0	172.21.33.103	-	-	unused
172.21.33.0	172.21.33.104	-	-	unused
172.21.33.0	172.21.33.105	-	-	unused
172.21.33.0	172.21.33.106	-	-	unused
172.21.33.0	172.21.33.107	-	-	unused
172.21.33.0	172.21.33.108	-	-	unused
172.21.33.0	172.21.33.109	-	-	unused
172.21.33.0	172.21.33.110	-	-	unused
172.21.33.0	172.21.33.111	-	-	unused
172.21.33.0	172.21.33.112	-	-	unused
172.21.33.0	172.21.33.113	-	-	unused
172.21.33.0	172.21.33.114	-	-	unused
172.21.33.0	172.21.33.115	-	-	unused
172.21.33.0	172.21.33.116	-	-	unused
172.21.33.0	172.21.33.117	-	-	unused
172.21.33.0	172.21.33.118	-	-	unused
172.21.33.0	172.21.33.119	-	-	unused
172.21.33.0	172.21.33.120	-	-	unused
172.21.33.0	172.21.33.121	-	-	unused
172.21.33.0	172.21.33.122	-	-	unused
172.21.33.0	172.21.33.123	-	-	unused
172.21.33.0	172.21.33.124	-	-	unused
172.21.33.0	172.21.33.125	-	-	unused
172.21.33.0	172.21.33.126	-	-	unused
172.21.33.0	172.21.33.127	-	-	unused
172.21.33.0	172.21.33.128	-	-	unused
172.21.33.0	172.21.33.129	-	-	unused
172.21.33.0	172.21.33.130	-	-	unused
172.21.33.0	172.21.33.131	-	-	unused
172.21.33.0	172.21.33.132	-	-	unused
172.21.33.0	172.21.33.133	-	-	unused
172.21.33.0	172.21.33.134	-	-	unused
172.21.33.0	172.21.33.135	-	-	unused
172.21.33.0	172.21.33.136	-	-	unused
172.21.33.0	172.21.33.137	-	-	unused
172.21.33.0	172.21.33.138	-	-	unused
172.21.33.0	172.21.33.139	-	-	unused
172.21.33.0	172.21.33.140	-	-	unused
172.21.33.0	172.21.33.141	-	-	unused
172.21.33.0	172.21.33.142	-	-	unused
172.21.33.0	172.21.33.143	-	-	unused
172.21.33.0	172.21.33.144	-	-	unused
172.21.33.0	172.21.33.145	-	-	unused
172.21.33.0	172.21.33.146	-	-	unused
172.21.33.0	172.21.33.147	-	-	unused
172.21.33.0	172.21.33.148	-	-	unused
172.21.33.0	172.21.33.149	-	-	unused
172.21.33.0	172.21.33.150	-	-	unused
172.21.33.0	172.21.33.151	-	-	unused
172.21.33.0	172.21.33.152	-	-	unused
172.21.33.0	172.21.33.153	-	-	unused
172.21.33.0	172.21.33.154	-	-	unused
172.21.33.0	172.21.33.155	-	-	unused
172.21.33.0	172.21.33.156	-	-	unused
172.21.33.0	172.21.33.157	-	-	unused
172.21.33.0	172.21.33.158	-	-	unused
172.21.33.0	172.21.33.159	-	-	unused
172.21.33.0	172.21.33.160	-	-	unused
172.21.33.0	172.21.33.161	-	-	unused
172.21.33.0	172.21.33.162	-	-	unused
172.21.33.0	172.21.33.163	-	-	unused
172.21.33.0	172.21.33.164	-	-	unused
172.21.33.0	172.21.33.165	-	-	unused
172.21.33.0	172.21.33.166	-	-	unused
172.21.33.0	172.21.33.167	-	-	unused
172.21.33.0	172.21.33.168	-	-	unused
172.21.33.0	172.21.33.169	-	-	unused
172.21.33.0	172.21.33.170	-	-	unused
172.21.33.0	172.21.33.171	-	-	unused
172.21.33.0	172.21.33.172	-	-	unused
172.21.33.0	172.21.33.173	-	-	unused
172.21.33.0	172.21.33.174	-	-	unused
172.21.33.0	172.21.33.175	-	-	unused
172.21.33.0	172.21.33.176	-	-	unused
172.21.33.0	172.21.33.177	-	-	unused
172.21.33.0	172.21.33.178	-	-	unused
172.21.33.0	172.21.33.179	-	-	unused
172.21.33.0	172.21.33.180	-	-	unused
172.21.33.0	172.21.33.181	-	-	unused
172.21.33.0	172.21.33.182	-	-	unused
172.21.33.0	172.21.33.183	-	-	unused
172.21.33.0	172.21.33.184	-	-	unused
172.21.33.0	172.21.33.185	-	-	unused
172.21.33.0	172.21.33.186	-	-	unused
172.21.33.0	172.21.33.187	-	-	unused
172.21.33.0	172.21.33.188	-	-	unused
172.21.33.0	172.21.33.189	-	-	unused
172.21.33.0	172.21.33.190	-	-	unused
172.21.33.0	172.21.33.191	-	-	unused
172.21.33.0	172.21.33.192	-	-	unused
172.21.33.0	172.21.33.193	-	-	unused
172.21.33.0	172.21.33.194	-	-	unused
172.21.33.0	172.21.33.195	-	-	unused
172.21.33.0	172.21.33.196	-	-	unused
172.21.33.0	172.21.33.197	-	-	unused
172.21.33.0	172.21.33.198	-	-	unused
172.21.33.0	172.21.33.199	-	-	unused
172.21.33.0	172.21.33.200	-	-	unused
172.21.33.0	172.21.33.201	-	-	unused
172.21.33.0	172.21.33.202	-	-	unused
172.21.33.0	172.21.33.203	-	-	unused
172.21.33.0	172.21.33.204	-	-	unused
172.21.33.0	172.21.33.205	-	-	unused
172.21.33.0	172.21.33.206	-	-	unused
172.21.33.0	172.21.33.207	-	-	unused
172.21.33.0	172.21.33.208	-	-	unused
172.21.33.0	172.21.33.209	-	-	unused
172.21.33.0	172.21.33.210	-	-	unused
172.21.33.0	172.21.33.211	-	-	unused
172.21.33.0	172.21.33.212	-	-	unused
172.21.33.0	172.21.33.213	-	-	unused
172.21.33.0	172.21.33.214	-	-	unused
172.21.33.0	172.21.33.215	-	-	unused
172.21.33.0	172.21.33.216	-	-	unused
172.21.33.0	172.21.33.217	-	-	unused
172.21.33.0	172.21.33.218	-	-	unused
172.21.33.0	172.21.33.219	-	-	unused
172.21.33.0	172.21.33.220	-	-	unused
172.21.33.0	172.21.33.221	-	-	unused
172.21.33.0	172.21.33.222	-	-	unused
172.21.33.0	172.21.33.223	-	-	unused
172.21.33.0	172.21.33.224	-	-	unused
